Accuracy,Precision (Class 0),Precision (Class 1),Precision (Class 2),Recall (Class 0),Recall (Class 1),Recall (Class 2),F1 Score (Class 0),F1 Score (Class 1),F1 Score (Class 2),Label Confusion Matrix,Confusion Matrix
0.7537448559670782,0.8224254090471608,0.7454794520547945,0.42939481268011526,0.9531511433351925,0.8513767209011264,0.13720073664825047,0.8829759752002068,0.7949167397020157,0.20795533845080252,
"[[[3913  369]
  [  84 1709]]

 [[1950  929]
  [ 475 2721]]

 [[4791  198]
  [ 937  149]]]",
  
  "[[1709   73   11]
 [ 288 2721  187]
 [  81  856  149]]"
