Unnamed: 0,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,input_dim,layers,activations,dropout,lr,epochs,batch_size,criterion,optimizer
0,DynamicANNWrapper0,0.5347231145936894,0.5249473965967041,0.5339086221410944,0.4944377929772245,"[[1755  438  386]
 [ 646  481 1452]
 [ 317  360 1902]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8068517131301821,0.8238313352062034,0.8069062413494763,0.8022888949185083,"[[2363   81  136]
 [ 233 2299   47]
 [ 159  837 1584]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.8144732171369183,0.8287130511240643,0.8143332889593724,0.8094551047701384,"[[2442   56   81]
 [ 250 2249   81]
 [ 202  764 1613]]     #pick",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,300.0,256.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.8087635607601044,0.8197726519987164,0.808413530456491,0.8040301342841584,"[[2433   66   80]
 [ 234 2162  183]
 [ 213  701 1665]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,400.0,256.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.8056370426556138,0.8108776615817994,0.8054141280996376,0.8009629358722261,"[[2455   44   80]
 [ 246 2043  290]
 [ 216  627 1737]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,500.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.7747391016929486,0.7809358072365503,0.7751758486049168,0.767873098378002,"[[2442   30  108]
 [ 257 1607  716]
 [ 220  412 1948]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,600.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.7609659884191143,0.7734042548897874,0.7612645715354753,0.7504520166602264,"[[2425   31  124]
 [ 243 1473  863]
 [ 196  391 1992]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,700.0,256.0,nn.CrossEntropyLoss(),Adam
7,DynamicANNWrapper0,0.7862080817112771,0.7924638258706673,0.7862274379061531,0.7792207663128866,"[[2450   36   93]
 [ 260 1779  540]
 [ 221  502 1856]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,800.0,256.0,nn.CrossEntropyLoss(),Adam
8,DynamicANNWrapper0,0.7876554738394876,0.788424115752413,0.7875505515494882,0.7822069088126896,"[[2473   31   75]
 [ 257 1755  567]
 [ 242  469 1868]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,900.0,256.0,nn.CrossEntropyLoss(),Adam
9,DynamicANNWrapper0,0.7145416894165076,0.7437230633903271,0.7160495782418245,0.6812836565436708,"[[2462   21   96]
 [ 255  983 1341]
 [ 222  272 2085]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,1000.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.33098204459802,0.11032734819934,0.3333333333333333,0.1657739611539544,"[[ 507 1027 1045]
 [ 529 1027 1023]
 [ 511 1042 1027]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.1,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.3317315420769633,0.1548584840388982,0.3338720653807766,0.1677366842847235,"[[1027  512 1041]
 [1027  513 1039]
 [1042  511 1027]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.01,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.7386963389222326,0.7413107772686967,0.738140768666637,0.7224685515171954,"[[2536   19   24]
 [ 293 1852  435]
 [ 601  649 1329]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.001,200.0,256.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.7902386488208022,0.8159102723469693,0.7902950563159534,0.7822008007612263,"[[2349   96  134]
 [ 228 2317   34]
 [ 158  971 1450]]     #pick",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.337337825935376,0.335711986001002,0.3407138007993749,0.188256038197066,"[[2026  528   25]
 [2027  493   59]
 [1995  493   91]]",feature.shape[1],"256, 256, 256, 3","relu, relu, relu",0.2,1e-05,200.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.6136773128191033,0.6146773640009802,0.6159068565824075,0.5954485461528098,"[[2222  213  144]
 [ 281 1044 1255]
 [ 164  931 1483]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,100.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8047853006254444,0.8196767497123894,0.8051216256689638,0.7994716440520926,"[[2431   62   87]
 [ 254 2203  122]
 [ 205  778 1596]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.8100811732567259,0.8237750830650808,0.8098414604431561,0.8047836563242502,"[[2434   57   88]
 [ 244 2225  110]
 [ 212  756 1611]]     #pick",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,300.0,256.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.8088665628514156,0.8185722206049715,0.8084900193033844,0.8051073461225615,"[[2369   72  139]
 [ 229 2214  137]
 [ 160  741 1678]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,400.0,256.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.8058696842169126,0.8156977492214444,0.8059740319612418,0.8011701143332509,"[[2442   46   92]
 [ 251 2079  249]
 [ 221  642 1716]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,500.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.7565222148963684,0.7737090611197086,0.7567575936818476,0.7446716946172919,"[[2380   43  157]
 [ 239 1530  810]
 [ 193  442 1945]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,600.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.7689501872675798,0.772565804307833,0.7689193208939165,0.7625593867093994,"[[2443   33  103]
 [ 262 1527  790]
 [ 230  368 1982]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,700.0,256.0,nn.CrossEntropyLoss(),Adam
7,DynamicANNWrapper0,0.7650760505170445,0.7817833901998655,0.7648497695417988,0.7519062741053342,"[[2459   36   85]
 [ 253 1544  783]
 [ 221  439 1919]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,800.0,256.0,nn.CrossEntropyLoss(),Adam
8,DynamicANNWrapper0,0.7407120529733431,0.7578474293380176,0.7418869659546382,0.7184729308941327,"[[2499   30   49]
 [ 262 1313 1004]
 [ 291  368 1921]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,900.0,256.0,nn.CrossEntropyLoss(),Adam
9,DynamicANNWrapper0,0.7393926884567009,0.7639714914628147,0.7380558802362625,0.7200022693842921,"[[2413   27  140]
 [ 246 1250 1083]
 [ 202  318 2059]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,1000.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.3640004537231276,0.4495921270930682,0.364060321767815,0.2393891853870703,"[[2493    2   84]
 [2392    4  183]
 [2256    3  319]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.1,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.3325841450998286,0.1108613816999428,0.3333333333333333,0.1663725335485403,"[[1045 1027  507]
 [1033 1018  529]
 [1018 1050  511]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.01,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.3291220934697008,0.1097073644899002,0.3333333333333333,0.1650792283321647,"[[   0 1027 1553]
 [   0 1018 1562]
 [   0 1050 1529]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.001,200.0,256.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.7255217991169886,0.735445121182037,0.7246623580302629,0.7108179403715048,"[[2390   46  143]
 [ 253 1747  579]
 [ 187  914 1478]]     #pick",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.3341082423331353,0.3143824387540224,0.3341169072717393,0.1698049412426688,"[[   0 2578    1]
 [   0 2573    6]
 [   0 2567   12]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,1e-05,200.0,256.0,nn.CrossEntropyLoss(),Adam
