Unnamed: 0,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1,Avg Confusion Matrix,input_dim,layers,activations,dropout,lr,epochs,batch_size,criterion,optimizer
0,DynamicANNWrapper0,0.8050429209864667,0.830492547426892,0.8049412199356014,0.7973545494265558,"[[2443   65   71]
 [ 257 2308   14]
 [ 231  868 1479]]",feature.shape[1],"512, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8042938006089756,0.8188681437618059,0.8045291466915879,0.7989209185910257,"[[2435   58   87]
 [ 270 2196  114]
 [ 217  767 1595]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.7927448150135501,0.8019165496081534,0.7921684086685457,0.7866347279457867,"[[2421   43  115]
 [ 273 1986  320]
 [ 232  619 1728]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.8107786774558173,0.825819126629517,0.810389759390549,0.8057169542896305,"[[2405   74  101]
 [ 240 2271   69]
 [ 206  774 1600]]",feature.shape[1],"1024, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.8061797684003066,0.8198744307225218,0.8057843810879127,0.8012942777897203,"[[2389   69  121]
 [ 245 2241   93]
 [ 170  799 1610]]",feature.shape[1],"1024, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.7856141035409125,0.7972344609232043,0.7862176099000997,0.7786462172653991,"[[2439   50   90]
 [ 269 2086  224]
 [ 250  774 1555]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.7974988862992736,0.8100176050356513,0.797293177716091,0.7922058542470478,"[[2386   76  117]
 [ 247 2195  137]
 [ 186  802 1591]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
7,DynamicANNWrapper0,0.6467733781458896,0.6718494325940443,0.6467294244050372,0.6018118566374946,"[[2396  145   38]
 [ 289 1963  327]
 [ 225 1707  647]]",feature.shape[1],"512, 1024, 512, 3","prelu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
8,DynamicANNWrapper0,0.6211701117665297,0.6912154731176849,0.6212166590340258,0.5141298650888523,"[[2449    1  129]
 [ 280   30 2270]
 [ 243    8 2328]]",feature.shape[1],"256, 512, 1024, 3","relu, gelu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.7890765055750444,0.7938377317623343,0.7886180736821242,0.7835512567894841,"[[2449   48   82]
 [ 267 1988  325]
 [ 253  656 1670]]",feature.shape[1],"512, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8078593982909161,0.8250561050271281,0.8079541813166025,0.8019403959457776,"[[2441   57   81]
 [ 257 2245   77]
 [ 214  799 1566]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.8136722503155387,0.8314901708096578,0.813658215333794,0.8076997360963517,"[[2453   50   76]
 [ 253 2276   50]
 [ 227  783 1569]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.7798267308931621,0.7971992589325768,0.7799109382993551,0.7726519856417717,"[[2394   53  132]
 [ 250 1973  357]
 [ 237  673 1669]]",feature.shape[1],"1024, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.7954575693955941,0.8210287296888167,0.7955810929519613,0.7881812814943389,"[[2355   82  142]
 [ 229 2330   21]
 [ 178  929 1472]]",feature.shape[1],"1024, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.800986637560219,0.8158494238390418,0.8008117668664543,0.794993192627405,"[[2444   61   75]
 [ 265 2164  151]
 [ 239  749 1592]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.8088150701487123,0.8168226775532677,0.8089003485812967,0.8053153137663316,"[[2387   61  131]
 [ 254 2196  129]
 [ 171  732 1677]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.8026921973471346,0.8204976641732367,0.8023254978560324,0.7966404462372334,"[[2412   69   99]
 [ 254 2243   82]
 [ 210  812 1557]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8089443058198,0.8272657813357801,0.8089379182734868,0.8029621288462667,"[[2451   55   74]
 [ 273 2252   54]
 [ 231  790 1558]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.8051203068764851,0.82224856513975,0.8049660330992946,0.7995505019652704,"[[2417   53  109]
 [ 249 2208  123]
 [ 209  763 1607]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.8016585856272755,0.8145121709315915,0.8017859149258919,0.7954902290386657,"[[2443   53   83]
 [ 257 2180  142]
 [ 256  741 1581]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,100.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.8020721591304054,0.8278906391064563,0.8017094301974963,0.793727824928686,"[[2452   62   65]
 [ 263 2288   28]
 [ 238  873 1467]]",feature.shape[1],"1024, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.8045005890291309,0.811671124624775,0.8042001305282869,0.8001725410295188,"[[2416   57  106]
 [ 253 2163  163]
 [ 198  734 1648]]",feature.shape[1],"128, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.7916082846319045,0.8094032981507906,0.7919292503466615,0.7849369028495957,"[[2406   79   94]
 [ 249 2181  150]
 [ 215  824 1540]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
7,DynamicANNWrapper0,0.8145765763065956,0.8309955160470853,0.814528860671777,0.8091671805514166,"[[2433   57   89]
 [ 246 2281   53]
 [ 219  770 1590]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,300.0,256.0,nn.CrossEntropyLoss(),Adam
0,DynamicANNWrapper0,0.807471417628812,0.8264899014751721,0.8067967794145273,0.8004808710187863,"[[2437   60   82]
 [ 241 2246   93]
 [ 206  807 1567]]",feature.shape[1],"512, 1024, 512, 3","relu, relu, relu",0.2,0.0001,300.0,256.0,nn.CrossEntropyLoss(),Adam
1,DynamicANNWrapper0,0.8111145213392869,0.8247622274743222,0.8111256043520593,0.8062300882913757,"[[2439   55   85]
 [ 256 2223  101]
 [ 200  763 1616]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,300.0,512.0,nn.CrossEntropyLoss(),Adam
2,DynamicANNWrapper0,0.8120447305061159,0.8311293405952543,0.812087512131536,0.8061036178691554,"[[2435   58   86]
 [ 243 2292   44]
 [ 202  819 1558]]",feature.shape[1],"512, 1024, 128, 3","relu, relu, relu",0.2,0.0001,300.0,256.0,nn.CrossEntropyLoss(),Adam
3,DynamicANNWrapper0,0.8102102620918499,0.8241607257100159,0.810266788205024,0.805491132018448,"[[2427   60   93]
 [ 266 2229   85]
 [ 198  766 1615]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,300.0,512.0,nn.CrossEntropyLoss(),Adam
4,DynamicANNWrapper0,0.7987130528595119,0.8279216964017116,0.7986207653755918,0.7889165431059617,"[[2488   52   39]
 [ 273 2283   23]
 [ 300  868 1411]]",feature.shape[1],"1024, 1024, 512, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
5,DynamicANNWrapper0,0.7092446454346979,0.7134317212522132,0.709360037192532,0.6959692612238371,"[[2457   23  100]
 [ 278 1468  833]
 [ 301  713 1565]]",feature.shape[1],"256, 256, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,300.0,nn.CrossEntropyLoss(),Adam
6,DynamicANNWrapper0,0.8043196270526709,0.8146590655223077,0.8044223150566712,0.7998948451784194,"[[2413   62  104]
 [ 249 2186  144]
 [ 195  758 1626]]",feature.shape[1],"256, 512, 1024, 3","relu, relu, relu",0.2,0.0001,200.0,256.0,nn.CrossEntropyLoss(),Adam
