iter	MultiClass
0	0.933914049
1	0.8158593054
2	0.7338508739
3	0.6794822342
4	0.6355501745
5	0.5997384886
6	0.5738618245
7	0.5538043324
8	0.5359051566
9	0.518000349
10	0.5061613389
11	0.4970667508
12	0.4880697893
13	0.481657997
14	0.4741604806
15	0.4696764291
16	0.4664390762
17	0.4621010511
18	0.4599703467
19	0.4569245822
20	0.454164328
21	0.4506453813
22	0.4487576238
23	0.4464703254
24	0.4421634905
25	0.439582825
26	0.4372556214
27	0.4347494928
28	0.433224441
29	0.4313171274
30	0.4297437537
31	0.4282932852
32	0.4263624465
33	0.4247415189
34	0.4228376938
35	0.4216852124
36	0.4203664921
37	0.4185799172
38	0.4174963727
39	0.4159783257
40	0.4142908637
41	0.4130140369
42	0.4121123638
43	0.4107524801
44	0.4090005837
45	0.4079278461
46	0.4067633303
47	0.4056309538
48	0.4044784336
49	0.4036458495
50	0.4028865062
51	0.4017994422
52	0.4010758343
53	0.3996827411
54	0.3984331646
55	0.3968437452
56	0.395599121
57	0.3945317138
58	0.3940967764
59	0.3929070152
60	0.3918438515
61	0.3910062116
62	0.3904235166
63	0.389343835
64	0.388487034
65	0.3872116358
66	0.3860278411
67	0.38489145
68	0.3841370307
69	0.3833682095
70	0.3826065934
71	0.381382225
72	0.3806172085
73	0.3797059135
74	0.3786425408
75	0.3778357224
76	0.3770255444
77	0.3764025443
78	0.3744964829
79	0.3734098136
80	0.372880302
81	0.3723365735
82	0.3712962521
83	0.3704492144
84	0.369408529
85	0.3687996089
86	0.3681462739
87	0.3671587599
88	0.36658028
89	0.3658773869
90	0.3646198936
91	0.3636697269
92	0.3626597465
93	0.3618358012
94	0.3615073009
95	0.3603705757
96	0.3592554175
97	0.3582391999
98	0.3575783693
99	0.3568201356
100	0.3558532722
101	0.354755553
102	0.3542427505
103	0.3530048723
104	0.3525801163
105	0.3518247858
106	0.3513341181
107	0.3507728921
108	0.3497855049
109	0.3491880118
110	0.3484735076
111	0.346680024
112	0.3462957626
113	0.3455271971
114	0.3448615325
115	0.3439045044
116	0.3432500926
117	0.3426230583
118	0.3421476042
119	0.3416064357
120	0.3409367472
121	0.3398362382
122	0.339041949
123	0.3382833858
124	0.3378927605
125	0.3373536517
126	0.3366695992
127	0.3363573506
128	0.335497067
129	0.3346655382
130	0.3341693545
131	0.3335657814
132	0.3327561399
133	0.3320711452
134	0.3313595034
135	0.3307025703
136	0.3299060152
137	0.3293441447
138	0.328694149
139	0.3283068479
140	0.327276842
141	0.3260893131
142	0.3254593448
143	0.3250375314
144	0.3241979283
145	0.3232288147
146	0.3226319296
147	0.3219844087
148	0.3213861178
149	0.3207842402
150	0.3200698454
151	0.3194101187
152	0.3186277738
153	0.3180726425
154	0.3177267807
155	0.317282263
156	0.3169428517
157	0.316533113
158	0.3159305516
159	0.3154299594
160	0.3149582357
161	0.3142610235
162	0.3133744832
163	0.3124465177
164	0.3120593637
165	0.311575841
166	0.3109956309
167	0.3104352348
168	0.3096806149
169	0.3090560532
170	0.3082343387
171	0.3074227717
172	0.3069330905
173	0.3067209504
174	0.3060702645
175	0.3056043639
176	0.3052143574
177	0.3047554861
178	0.3040609863
179	0.3034051638
180	0.3025720677
181	0.30197933
182	0.3012538737
183	0.3009092635
184	0.3005200449
185	0.2998181106
186	0.2994213671
187	0.2989719278
188	0.2981203187
189	0.2974523655
190	0.2965774643
191	0.296177789
192	0.2954643817
193	0.2945473847
194	0.2941031544
195	0.2938794515
196	0.2933895895
197	0.2929937643
198	0.2922547055
199	0.2920326442
