iter	Passed	Remaining
0	170	33849
1	203	20161
2	237	15597
3	272	13374
4	305	11916
5	338	10940
6	372	10264
7	406	9755
8	440	9352
9	473	8999
10	512	8802
11	546	8567
12	580	8343
13	613	8149
14	645	7957
15	678	7803
16	713	7681
17	747	7561
18	785	7478
19	819	7372
20	852	7265
21	885	7166
22	920	7082
23	954	6996
24	988	6916
25	1028	6885
26	1062	6807
27	1097	6744
28	1134	6689
29	1167	6618
30	1202	6555
31	1235	6485
32	1271	6433
33	1304	6369
34	1337	6305
35	1369	6241
36	1402	6180
37	1437	6127
38	1472	6077
39	1504	6016
40	1543	5985
41	1576	5929
42	1610	5881
43	1645	5834
44	1682	5795
45	1716	5747
46	1750	5699
47	1787	5658
48	1820	5610
49	1855	5565
50	1886	5512
51	1920	5465
52	1955	5423
53	1989	5377
54	2027	5345
55	2061	5300
56	2095	5258
57	2128	5211
58	2162	5167
59	2201	5137
60	2250	5128
61	2286	5090
62	2320	5047
63	2353	5000
64	2385	4955
65	2421	4915
66	2454	4873
67	2489	4832
68	2526	4797
69	2560	4756
70	2593	4711
71	2627	4670
72	2661	4630
73	2696	4591
74	2731	4553
75	2769	4519
76	2803	4479
77	2836	4436
78	2874	4402
79	2907	4360
80	2940	4319
81	2974	4280
82	3013	4247
83	3052	4214
84	3086	4176
85	3122	4138
86	3156	4099
87	3189	4059
88	3221	4018
89	3259	3984
90	3292	3943
91	3325	3903
92	3359	3865
93	3392	3826
94	3425	3786
95	3459	3747
96	3491	3706
97	3530	3675
98	3564	3636
99	3598	3598
100	3631	3559
101	3665	3521
102	3700	3484
103	3734	3447
104	3774	3414
105	3806	3375
106	3840	3337
107	3876	3302
108	3911	3265
109	3946	3228
110	3978	3189
111	4014	3153
112	4047	3116
113	4080	3078
114	4113	3040
115	4148	3003
116	4182	2966
117	4215	2929
118	4253	2895
119	4285	2856
120	4318	2819
121	4352	2782
122	4387	2746
123	4420	2709
124	4455	2673
125	4488	2636
126	4528	2602
127	4561	2566
128	4594	2528
129	4628	2492
130	4663	2456
131	4698	2420
132	4733	2384
133	4774	2351
134	4808	2315
135	4842	2278
136	4877	2242
137	4911	2206
138	4942	2168
139	4975	2132
140	5013	2097
141	5045	2060
142	5078	2024
143	5112	1988
144	5147	1952
145	5180	1916
146	5214	1879
147	5253	1845
148	5287	1809
149	5318	1772
150	5350	1736
151	5383	1700
152	5417	1664
153	5449	1627
154	5482	1591
155	5522	1557
156	5556	1521
157	5591	1486
158	5626	1450
159	5663	1415
160	5698	1380
161	5734	1345
162	5773	1310
163	5807	1274
164	5841	1239
165	5876	1203
166	5909	1167
167	5943	1132
168	5976	1096
169	6015	1061
170	6054	1026
171	6086	990
172	6119	955
173	6152	919
174	6185	883
175	6217	847
176	6256	813
177	6291	777
178	6325	742
179	6357	706
180	6391	670
181	6426	635
182	6461	600
183	6499	565
184	6534	529
185	6568	494
186	6602	458
187	6636	423
188	6671	388
189	6706	352
190	6746	317
191	6779	282
192	6812	247
193	6848	211
194	6881	176
195	6913	141
196	6948	105
197	6983	70
198	7020	35
199	7053	0
