,ECLO
0,5
1,3
2,3
3,5
4,3
5,6
6,18
7,3
8,5
9,9
10,5
11,3
12,5
13,5
14,8
15,3
16,3
17,3
18,5
19,5
20,15
21,3
22,3
23,3
24,3
25,3
26,3
27,2
28,3
29,5
30,1
31,6
32,3
33,5
34,6
35,3
36,3
37,7
38,1
39,3
40,6
41,1
42,3
43,6
44,6
45,6
46,3
47,5
48,4
49,1
50,12
51,3
52,5
53,3
54,3
55,3
56,4
57,6
58,3
59,3
60,1
61,3
62,3
63,5
64,1
65,3
66,5
67,6
68,3
69,5
70,3
71,5
72,6
73,13
74,3
75,3
76,8
77,3
78,3
79,1
80,1
81,3
82,3
83,5
84,5
85,12
86,6
87,6
88,5
89,12
90,3
91,5
92,5
93,1
94,5
95,10
96,1
97,3
98,1
99,3
100,3
101,8
102,5
103,3
104,12
105,3
106,7
107,8
108,5
109,6
110,5
111,3
112,3
113,1
114,3
115,5
116,8
117,6
118,3
119,3
120,3
121,12
122,3
123,1
124,3
125,3
126,3
127,13
128,3
129,6
130,3
131,9
132,3
133,5
134,6
135,3
136,1
137,3
138,3
139,5
140,3
141,10
142,5
143,3
144,5
145,3
146,7
147,7
148,3
149,3
150,9
151,3
152,3
153,3
154,6
155,3
156,3
157,5
158,5
159,3
160,5
161,4
162,3
163,3
164,10
165,5
166,5
167,3
168,3
169,3
170,9
171,5
172,3
173,5
174,3
175,6
176,6
177,3
178,5
179,3
180,5
181,3
182,1
183,3
184,3
185,5
186,1
187,10
188,6
189,5
190,11
191,5
192,13
193,3
194,3
195,3
196,3
197,3
198,6
199,3
200,3
201,3
202,3
203,3
204,5
205,3
206,3
207,5
208,10
209,6
210,5
211,1
212,5
213,5
214,3
215,5
216,3
217,5
218,6
219,3
220,3
221,2
222,1
223,3
224,5
225,5
226,1
227,3
228,3
229,3
230,3
231,3
232,3
233,5
234,8
235,5
236,5
237,3
238,9
239,5
240,3
241,3
242,8
243,3
244,6
245,11
246,3
247,3
248,3
249,5
250,3
251,10
252,5
253,5
254,1
255,1
256,5
257,3
258,1
259,4
260,3
261,3
262,11
263,1
264,6
265,1
266,5
267,1
268,3
269,3
270,6
271,3
272,3
273,11
274,1
275,3
276,3
277,3
278,3
279,5
280,3
281,11
282,16
283,5
284,3
285,5
286,3
287,3
288,3
289,3
290,3
291,5
292,5
293,6
294,7
295,3
296,5
297,5
298,3
299,5
300,5
301,8
302,3
303,3
304,8
305,3
306,5
307,3
308,3
309,2
310,6
311,3
312,3
313,3
314,5
315,5
316,5
317,3
318,6
319,3
320,5
321,1
322,3
323,3
324,3
325,3
326,5
327,3
328,3
329,3
330,6
331,3
332,6
333,1
334,1
335,3
336,4
337,6
338,4
339,3
340,6
341,1
342,3
343,9
344,4
345,3
346,6
347,3
348,3
349,3
350,3
351,12
352,3
353,1
354,40
355,5
356,1
357,3
358,5
359,3
360,9
361,3
362,3
363,5
364,6
365,6
366,6
367,3
368,3
369,9
370,3
371,5
372,5
373,9
374,3
